rate,loc,group,stage
11.4,2,1,1
8.8,2,1,1
15.4,2,1,1
11.6,2,1,1
14.5714285714286,2,1,1
15.1428571428571,2,1,1
24.8571428571429,2,1,1
4.85714285714286,2,1,1
11.3333333333333,2,1,1
4.22222222222222,2,1,1
24.4,2,1,1
16.4,2,1,1
4.4,2,1,1
13.6,2,1,1
17.2,2,1,1
9.6,2,1,1
10.4,2,1,1
18.4,2,1,1
11.75,2,1,1
25.5,2,1,1
6,2,1,1
8.44444444444444,2,1,1
9.11111111111111,2,1,1
5.55555555555556,2,1,1
19.1111111111111,2,1,1
19.7777777777778,2,1,1
5.4,2,1,1
13.6,2,1,1
12.4444444444444,2,1,1
8.2,2,1,1
1,2,1,1
4.6,2,1,1
9.2,2,1,1
23.5,2,1,1
24.5,2,1,1
16.4,2,1,1
13.2,2,1,1
1.2,2,1,1
7.4,2,1,1
12,2,1,1
33,2,1,1
6.4,2,1,1
9,2,1,1
7.2,2,1,1
5.8,2,1,1
30,2,1,1
1.6,2,1,1
6.4,2,1,1
14.2222222222222,2,1,1
18.25,2,1,1
16,2,1,1
1.5,2,1,1
11.4,2,1,1
5,2,1,1
22.2,2,1,1
3.6,2,1,1
24.8,2,1,1
2.8,2,1,1
7.8,2,1,1
2.2,2,1,1
1.6,2,1,1
13.8,2,1,1
9.8,2,1,1
18.4444444444444,2,1,1
6.88888888888889,2,1,1
10.6666666666667,2,1,1
2.88888888888889,2,1,1
14.4,2,1,1
12.2,2,1,1
23.2,2,1,1
5.4,2,1,1
23.6,2,1,1
25.6,2,1,1
18.4,2,1,1
9.4,2,1,1
14.8,2,1,1
11,2,1,1
22.6,2,1,1
8.8,2,1,1
28.8,2,1,1
14.4,2,1,1
28.2,2,1,1
6.6,2,1,1
2.2,2,1,1
39.6666666666667,2,1,1
8.33333333333333,2,1,1
27.6666666666667,2,1,1
13,2,1,1
36,2,1,1
21,2,1,1
10.5,2,1,1
38,2,1,1
8.2,2,1,1
4.8,2,1,1
8.4,2,1,1
17.2,2,1,1
6.6,2,1,1
0.2,2,1,1
19.4,2,1,1
10.6,2,1,1
2.75,2,1,1
6.66666666666667,2,1,1
4.6,2,1,1
35,2,1,1
18.8,2,1,1
16.2,2,1,1
1.8,2,1,1
1,2,1,1
4.6,2,1,1
12.2,2,1,1
11,2,1,1
21.4,2,1,1
0.2,2,1,1
36.2,2,1,1
12.8,2,1,1
26.8,2,1,1
6.8,2,1,1
1.2,2,1,1
4.2,2,1,1
7.4,2,1,1
12.4,2,1,1
34.4,2,1,1
8,2,1,1
13.4285714285714,2,1,1
4.75,2,1,1
4.75,2,1,1
18.5,2,1,1
13.6,2,1,1
11.8,2,1,1
13.2,2,1,1
12.6666666666667,2,1,1
5.11111111111111,2,1,1
12.2222222222222,2,1,1
3.33333333333333,2,1,1
8.88888888888889,2,1,1
7.77777777777778,2,1,1
12.4,2,1,1
10.4,2,1,1
13.6,2,1,1
3.2,2,1,1
30,2,1,1
2.4,2,1,1
20.4,2,1,1
1.8,2,1,1
2.4,2,1,1
4.8,2,1,1
9.4,2,1,1
7,2,1,1
2.4,2,1,1
6.2,2,1,1
4.6,2,1,1
4.5,2,1,1
4,2,1,1
13,2,1,1
16.2,2,1,1
18,2,1,1
22.2,2,1,1
11.8,2,1,1
7.8,2,1,1
14.8,2,1,1
49.5555555555556,2,1,1
5.77777777777778,2,1,1
15,2,1,1
25,2,1,1
2.4,2,1,1
14.8,2,1,1
5.8,2,1,1
2.6,2,1,1
21.8,2,1,1
49.6,2,1,1
8,2,1,1
29.8,2,1,1
7.8,3,1,1
9.8,3,1,1
13.4,3,1,1
11.8,3,1,1
13.2,3,1,1
7.6,3,1,1
14.5714285714286,3,1,1
12.5714285714286,3,1,1
18.2857142857143,3,1,1
6.85714285714286,3,1,1
9.55555555555556,3,1,1
6.88888888888889,3,1,1
21,3,1,1
10.4,3,1,1
3.6,3,1,1
14.6,3,1,1
14,3,1,1
3,3,1,1
2.6,3,1,1
6.8,3,1,1
9.25,3,1,1
5.75,3,1,1
1,3,1,1
6.44444444444444,3,1,1
9.77777777777778,3,1,1
3.11111111111111,3,1,1
13.7777777777778,3,1,1
13.7777777777778,3,1,1
6.6,3,1,1
10.8,3,1,1
8.66666666666667,3,1,1
2.8,3,1,1
0.8,3,1,1
2.2,3,1,1
5.6,3,1,1
12.75,3,1,1
29,3,1,1
11.8,3,1,1
6.6,3,1,1
1.2,3,1,1
5.6,3,1,1
6.2,3,1,1
25.6,3,1,1
1.2,3,1,1
5,3,1,1
8.2,3,1,1
6,3,1,1
19.75,3,1,1
2,3,1,1
5.2,3,1,1
13.7777777777778,3,1,1
25,3,1,1
13.75,3,1,1
2.5,3,1,1
4.8,3,1,1
1.8,3,1,1
7.6,3,1,1
3.2,3,1,1
7.2,3,1,1
4,3,1,1
7.2,3,1,1
0.8,3,1,1
2.2,3,1,1
11.1111111111111,3,1,1
5.77777777777778,3,1,1
14.2,3,1,1
5.4,3,1,1
7,3,1,1
0.8,3,1,1
9.6,3,1,1
10.4,3,1,1
23.4,3,1,1
1.6,3,1,1
29.4,3,1,1
11.4,3,1,1
19.2,3,1,1
8.8,3,1,1
10.2,3,1,1
8.6,3,1,1
15.8,3,1,1
4.8,3,1,1
26.6,3,1,1
17.2,3,1,1
27.6,3,1,1
5.6,3,1,1
2.8,3,1,1
20.6666666666667,3,1,1
8.66666666666667,3,1,1
16.3333333333333,3,1,1
10.6666666666667,3,1,1
30,3,1,1
21,3,1,1
11,3,1,1
34.75,3,1,1
15,3,1,1
5.6,3,1,1
11.2,3,1,1
13,3,1,1
5.6,3,1,1
0,3,1,1
9,3,1,1
3.8,3,1,1
2.75,3,1,1
8.66666666666667,3,1,1
1,3,1,1
26,3,1,1
15,3,1,1
10,3,1,1
0,3,1,1
0.8,3,1,1
3.4,3,1,1
9.2,3,1,1
8.4,3,1,1
9.6,3,1,1
1.2,3,1,1
14.4,3,1,1
7.2,3,1,1
14,3,1,1
4.4,3,1,1
0,3,1,1
2.4,3,1,1
3.6,3,1,1
7.2,3,1,1
25.4,3,1,1
5.71428571428571,3,1,1
9.71428571428571,3,1,1
1.75,3,1,1
3.75,3,1,1
14,3,1,1
17.8,3,1,1
5,3,1,1
10.8,3,1,1
5.55555555555556,3,1,1
4.22222222222222,3,1,1
8.44444444444444,3,1,1
5.33333333333333,3,1,1
11.5555555555556,3,1,1
5.55555555555556,3,1,1
12.4,3,1,1
7.4,3,1,1
10.2,3,1,1
2,3,1,1
7,3,1,1
1,3,1,1
8.6,3,1,1
2.2,3,1,1
4.2,3,1,1
2.4,3,1,1
5.4,3,1,1
4.6,3,1,1
2.6,3,1,1
5.2,3,1,1
6.4,3,1,1
6.5,3,1,1
9,3,1,1
16,3,1,1
9.8,3,1,1
8.2,3,1,1
10.4,3,1,1
5,3,1,1
6.4,3,1,1
7.8,3,1,1
49.7777777777778,3,1,1
6.66666666666667,3,1,1
4.4,3,1,1
13,3,1,1
0.8,3,1,1
14.6,3,1,1
5,3,1,1
0.8,3,1,1
18,3,1,1
42.6,3,1,1
5.2,3,1,1
32.4,3,1,1
12.2,4,1,1
11.2,4,1,1
17.4,4,1,1
9,4,1,1
13,4,1,1
5.6,4,1,1
14.5714285714286,4,1,1
10.5714285714286,4,1,1
15.4285714285714,4,1,1
4,4,1,1
12.8888888888889,4,1,1
5.55555555555556,4,1,1
27.6,4,1,1
13.4,4,1,1
2.4,4,1,1
15,4,1,1
17.2,4,1,1
5.4,4,1,1
7,4,1,1
14.6,4,1,1
7.75,4,1,1
5.5,4,1,1
1,4,1,1
3.55555555555556,4,1,1
8.88888888888889,4,1,1
5.11111111111111,4,1,1
10,4,1,1
17.5555555555556,4,1,1
9.2,4,1,1
11.2,4,1,1
9.55555555555556,4,1,1
1.2,4,1,1
0.6,4,1,1
2.6,4,1,1
11,4,1,1
21.25,4,1,1
