rate,loc,group,stage
2.3,5,1,1
11.5,5,1,1
11.8,5,1,1
6.6,5,1,1
0.2,5,1,1
11.2,5,1,1
6.7,5,1,1
12.625,5,1,1
4.5,5,1,1
0.2,5,1,1
23.9,5,1,1
5.8,5,1,1
4.6,5,1,1
0.2,5,1,1
0.9,5,1,1
2.1,5,1,1
8.1,5,1,1
7.2,5,1,1
12.1,5,1,1
0.1,5,1,1
14,5,1,1
3.4,5,1,1
13.4,5,1,1
4.8,5,1,1
0.9,5,1,1
1.6,5,1,1
3,5,1,1
7.8,5,1,1
21.8,5,1,1
5.66666666666667,5,1,1
9.85714285714286,5,1,1
1.375,5,1,1
3.125,5,1,1
12.125,5,1,1
12.6,5,1,1
7.3,5,1,1
6.4,5,1,1
8.11111111111111,5,1,1
3.66666666666667,5,1,1
8,5,1,1
4.22222222222222,5,1,1
4.44444444444444,5,1,1
5.66666666666667,5,1,1
11.7,5,1,1
6.4,5,1,1
10.3,5,1,1
2.2,5,1,1
14.7,5,1,1
1.7,5,1,1
12,5,1,1
4.6,5,1,1
3.5,5,1,1
4.5,5,1,1
10.1,5,1,1
6.3,5,1,1
1.9,5,1,1
6,5,1,1
4.5,5,1,1
2.875,5,1,1
7.375,5,1,1
13.875,5,1,1
9.9,5,1,1
8.9,5,1,1
10.1,5,1,1
10.1,5,1,1
4.1,5,1,1
7.5,5,1,1
31.6666666666667,5,1,1
4.33333333333333,5,1,1
2.4,5,1,1
7.6,5,1,1
1.2,5,1,1
11.4,5,1,1
7.6,5,1,1
10.25,5,1,1
13.5,5,1,1
9.8,5,1,1
29.7,5,1,1
10.6,5,1,1
4.2,5,1,1
4.8,5,1,1
12.4,5,1,1
8.2,5,1,1
10.3333333333333,5,1,1
8.33333333333333,5,1,1
11.8,5,1,1
3,5,1,1
0.7,5,1,1
16.6,5,1,1
39.4,5,1,1
4.5,5,1,1
20.7,5,1,1
7.3,6,1,1
9.3,6,1,1
9.7,6,1,1
7,6,1,1
13.1,6,1,1
7,6,1,1
10,6,1,1
9.57142857142857,6,1,1
13.5714285714286,6,1,1
5.28571428571429,6,1,1
8.6,6,1,1
9.4,6,1,1
36.1666666666667,6,1,1
9.22222222222222,6,1,1
2.88888888888889,6,1,1
26.1,6,1,1
19.1,6,1,1
7.3,6,1,1
10.7,6,1,1
13.9,6,1,1
1.2,6,1,1
1.6,6,1,1
5.4,6,1,1
5.125,6,1,1
3.375,6,1,1
1.375,6,1,1
9.1,6,1,1
2,6,1,1
5.22222222222222,6,1,1
6.22222222222222,6,1,1
2.66666666666667,6,1,1
11.2222222222222,6,1,1
16.5555555555556,6,1,1
4.8,6,1,1
9.8,6,1,1
10.8888888888889,6,1,1
1.2,6,1,1
0.7,6,1,1
3.3,6,1,1
8.7,6,1,1
17.75,6,1,1
21.25,6,1,1
14.6,6,1,1
5.2,6,1,1
2.7,6,1,1
9.6,6,1,1
8.8,6,1,1
24,6,1,1
0.4,6,1,1
4.9,6,1,1
6.1,6,1,1
5,6,1,1
19.25,6,1,1
0.428571428571429,6,1,1
5,6,1,1
9.5,6,1,1
21,6,1,1
13.2,6,1,1
1.1,6,1,1
2.4,6,1,1
14.4444444444444,6,1,1
14,6,1,1
11.5,6,1,1
1.5,6,1,1
5.2,6,1,1
1.8,6,1,1
13.8,6,1,1
3.2,6,1,1
10.4,6,1,1
3.8,6,1,1
6.2,6,1,1
0.3,6,1,1
2.2,6,1,1
10.5714285714286,6,1,1
10.1111111111111,6,1,1
10.5,6,1,1
6.6,6,1,1
6.9,6,1,1
1.3,6,1,1
11.2,6,1,1
0.8,6,1,1
3.6,6,1,1
2.5,6,1,1
6.3,6,1,1
10.2,6,1,1
5.7,6,1,1
8.2,6,1,1
12.3,6,1,1
6.6,6,1,1
6.9,6,1,1
6.5,6,1,1
15.5,6,1,1
0.7,6,1,1
17.2,6,1,1
9.2,6,1,1
12.2,6,1,1
4.6,6,1,1
8,6,1,1
8.1,6,1,1
17.1,6,1,1
6.8,6,1,1
9.8,6,1,1
17.8,6,1,1
10.7,6,1,1
22.5,6,1,1
2.1,6,1,1
1.1,6,1,1
12.5,6,1,1
10.5,6,1,1
13.1666666666667,6,1,1
5.66666666666667,6,1,1
24.8333333333333,6,1,1
12.8571428571429,6,1,1
19,6,1,1
23.5714285714286,6,1,1
18.1666666666667,6,1,1
16.625,6,1,1
5.25,6,1,1
33.125,6,1,1
3.9,6,1,1
4.3,6,1,1
8.8,6,1,1
11.2,6,1,1
6.2,6,1,1
0.1,6,1,1
14.8,6,1,1
9.4,6,1,1
7.25,6,1,1
5.33333333333333,6,1,1
0.2,6,1,1
19.7,6,1,1
5.6,6,1,1
7.9,6,1,1
0.3,6,1,1
1,6,1,1
3.1,6,1,1
8.9,6,1,1
9.8,6,1,1
11.6,6,1,1
0.3,6,1,1
11.2,6,1,1
4.3,6,1,1
13.3,6,1,1
5,6,1,1
0.6,6,1,1
2.1,6,1,1
3.9,6,1,1
6.7,6,1,1
26.9,6,1,1
5,6,1,1
11,6,1,1
2.625,6,1,1
3.25,6,1,1
9.125,6,1,1
11.7,6,1,1
6.9,6,1,1
3.2,6,1,1
5.88888888888889,6,1,1
4,6,1,1
7.11111111111111,6,1,1
4.22222222222222,6,1,1
7.88888888888889,6,1,1
4.55555555555556,6,1,1
10.7,6,1,1
4.1,6,1,1
8.4,6,1,1
1.8,6,1,1
19.4,6,1,1
1.7,6,1,1
11.9,6,1,1
3.3,6,1,1
3.7,6,1,1
4.1,6,1,1
7.8,6,1,1
6.3,6,1,1
3.1,6,1,1
5.5,6,1,1
3.6,6,1,1
5.5,6,1,1
7.25,6,1,1
11,6,1,1
9.8,6,1,1
6.9,6,1,1
9.3,6,1,1
10.6,6,1,1
3.9,6,1,1
6.8,6,1,1
34.5555555555556,6,1,1
3.44444444444444,6,1,1
6.2,6,1,1
11.8,6,1,1
1,6,1,1
10.6,6,1,1
11.2,6,1,1
9.75,6,1,1
11.5,6,1,1
13.2,6,1,1
26.9,6,1,1
12.3,6,1,1
0.2,6,1,1
6.3,6,1,1
12.2,6,1,1
6.3,6,1,1
11.1111111111111,6,1,1
12,6,1,1
11.8,6,1,1
3.3,6,1,1
0.7,6,1,1
14.7,6,1,1
37.8,6,1,1
3.1,6,1,1
20.5,6,1,1
10.3,7,1,1
9,7,1,1
10.2,7,1,1
8.7,7,1,1
15.8,7,1,1
7.3,7,1,1
